,SGD=X,JPY=X,INR=X,MYR=X,GBPUSD=X,ZAR=X,NZDUSD=X,AUDUSD=X,CNY=X,PHP=X,MXN=X,IDR=X,EURUSD=X,THB=X,HKD=X
2021-01-05 22:00:00+00:00,-0.00022014300337491743,9.732034015108582e-06,0.0,0.0,-0.000136316965818839,3.0056541959089245e-05,-0.0003625941528755394,-0.0008531352605640752,0.0,-0.0009364863612860708,-0.0007545344266406406,0.0,-0.0002460787258159458,0.0003343439964176298,-6.457833056305873e-06
2021-01-05 23:00:00+00:00,0.00018227111987423328,-0.0002726428797267255,0.0,0.0,0.00036796597596699954,-0.001368805099881465,0.0008709361552672323,0.0010791269593135588,0.0,0.0,0.001923095942496067,0.0,0.00012306964773012297,6.687194888765902e-05,-2.5769995471547347e-05
2021-01-06 00:00:00+00:00,-0.0006072485442684128,-9.73459337128002e-06,0.0002051759655246066,-0.0014947787874698415,0.0006136342085807378,0.0004413139768171259,0.0,0.00041165453723990275,0.0,0.00031245473002194935,-0.0010149997819727252,0.0,0.000861962884048717,-0.0020720631249386834,-1.9374123551574307e-05
2021-01-06 01:00:00+00:00,0.0012531715217065642,0.0010714101795559205,0.00034182023448492416,0.0022455842296338346,-0.002136305505412328,0.005232945856668669,-0.0005802831035865985,-0.0014115736298645487,0.000263350037038812,0.0009787772711726817,0.002917239948909467,0.0,-0.0017209889398603906,0.0024112054494214163,-5.800048405490976e-05
2021-01-06 02:00:00+00:00,0.0010240881817240588,0.0005059589358205052,0.000683615476829047,-0.0004979665869762062,-0.0008293858584761393,0.0016488356132768889,-0.0017379158764901925,-0.0025606240422155757,0.0007124457034324294,8.317146114156238e-05,0.0021740330273571917,0.0,-0.0008596989705628166,0.0004343341115153887,7.350434647501736e-05
2021-01-06 03:00:00+00:00,-0.00021219621456047832,-0.00026257088727654754,-0.0001366505399572615,-0.0004980959173117583,0.0004489257916020506,-0.0014602720730767516,0.0010147672171909594,0.0019455074541574469,-0.0005881038451615028,-0.0002704434796934052,-0.0024195786000824615,-0.0010605460344642603,0.0006143910772946626,-0.00016694475931033903,-3.0937212404658077e-05
2021-01-06 04:00:00+00:00,-0.0009020027297712563,0.00015562468580054833,-0.0007515243152361739,-4.9786884803726394e-05,0.0002992956342364739,-0.0011333357676153177,0.001815486599006766,0.0018326127558214722,-7.746065511926581e-05,-0.00012485993937516593,-0.00035410571753957676,-0.0009487803744172574,0.0007379806064746752,-0.0005344271007096113,-3.222982274708741e-05
2021-01-06 05:00:00+00:00,-0.00018964313358460494,-0.0003112009410526362,-0.00010933414151570453,-0.0011962518471972938,0.0007625155319936905,-0.0012717053989537153,0.0008721165262592923,0.0009094107742764201,0.00012391710993986393,4.1678101682540714e-05,-0.0019690887616555797,0.0,0.00012300299452694397,-0.0002673245629971621,4.514780986997202e-05
2021-01-06 06:00:00+00:00,-0.0005159416378107684,-0.0007004572010406163,0.0003965882765750717,0.0,0.0010086462017391273,-0.005655104520906229,0.0015285850070898555,0.0021654034826823487,-0.00017034645530222825,-0.0002497406539363478,-0.0026799567716113692,0.0,0.0017249314819960393,-0.0005348558458614372,8.979949126741715e-06
2021-01-06 07:00:00+00:00,-0.0005390137929973671,0.00022386964398912745,-0.0013260259022482845,-0.00024948292077042744,0.0021034196793672244,-0.0021892586179889095,0.0024811114134482004,0.0013025411643028395,-0.00034067710479257496,-0.00037470455986621243,-0.0024970522513568794,0.0015245015137630435,0.001851703322278242,-0.00023411269470674512,1.291624919508294e-05
